2026-03-18 00:00:00.001 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:62] 开启定时任务：查询阿里云长文本语音合成的结果，【2026-03-18 00:00:00】
2026-03-18 00:00:00.011 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:90] 多线程请求结束，音频列表为空
2026-03-18 00:00:00.011 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:137] mongo更新结束，音频文件列表为空
2026-03-18 00:00:00.011 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:82] 结束定时任务：查询阿里云长文本语音合成结束，【2026-03-18 00:00:00】
2026-03-18 00:10:00.006 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:62] 开启定时任务：查询阿里云长文本语音合成的结果，【2026-03-18 00:10:00】
2026-03-18 00:10:00.008 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:90] 多线程请求结束，音频列表为空
2026-03-18 00:10:00.008 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:137] mongo更新结束，音频文件列表为空
2026-03-18 00:10:00.008 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:82] 结束定时任务：查询阿里云长文本语音合成结束，【2026-03-18 00:10:00】
2026-03-18 00:20:00.006 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:62] 开启定时任务：查询阿里云长文本语音合成的结果，【2026-03-18 00:20:00】
2026-03-18 00:20:00.008 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:90] 多线程请求结束，音频列表为空
2026-03-18 00:20:00.009 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:137] mongo更新结束，音频文件列表为空
2026-03-18 00:20:00.009 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:82] 结束定时任务：查询阿里云长文本语音合成结束，【2026-03-18 00:20:00】
2026-03-18 00:30:00.001 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:62] 开启定时任务：查询阿里云长文本语音合成的结果，【2026-03-18 00:30:00】
2026-03-18 00:30:00.014 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:90] 多线程请求结束，音频列表为空
2026-03-18 00:30:00.014 [knowledge-web]  INFO [] [] [pool-3-thread-1] [com.nullht.app.task.NlsTtsAudioTask:137] mongo更新结束，音频文件列表为空
